Continent,Country,Last_Updated_Date,Total_Cases,Total_Deaths,Total_Cases_Per_Million,Total_Deaths_Per_Million,Total_tests,Positive_rate,Total_Vaccinations,People_Vaccinated,People_Fully_Vaccinated,Population,Population_Density,Median_Age,Aged_65_Older,Aged_70_Older,GDP_Per_Capita
North America,Dominican Republic,11-10-2021,366191,4067,33430.761,371.29,,,12125221,6134235,4973191,10953714,222.873,27.6,6.981,4.419,14600.861
South America,Ecuador,11-10-2021,512044,32848,28624.242,1836.266,1761061,0.105,21155212,11563516,9978130,17888474,66.939,28.1,7.104,4.458,10581.936
Africa,Egypt,11-10-2021,313259,17726,3004.642,170.02,,,20154366,13552189,6602177,104258327,97.999,25.3,5.159,2.891,10550.206
North America,El Salvador,11-10-2021,107664,3392,16516.683,520.365,,,7994792,4199362,3571027,6518500,307.811,27.6,8.273,5.417,7292.458
Africa,Equatorial Guinea,11-10-2021,12786,155,8818.594,106.905,230491,0.049,410064,234307,175757,1449891,45.194,22.4,2.846,1.752,22604.873
Africa,Eritrea,11-10-2021,6755,43,1875.627,11.94,,,,,,3601462,44.304,19.3,3.607,2.171,1510.459
Europe,Estonia,11-10-2021,165345,1400,124770.976,1056.454,1997046,0.143,1390624,766338,721028,1325188,31.033,42.7,19.452,13.491,29481.252
Africa,Eswatini,11-10-2021,46284,1229,39479.038,1048.305,,,258552,227080,219736,1172369,79.492,21.5,3.163,1.845,7738.975
Africa,Ethiopia,11-10-2021,355001,6026,3011.642,51.121,3557710,0.107,3873996,2956130,917866,117876226,104.957,19.8,3.526,2.063,1729.927
Europe,Faeroe Islands,11-10-2021,,,,,,,75519,38719,36800,49053,35.308,,,,
Oceania,Fiji,11-10-2021,51535,653,57077.259,723.226,,,1055883,593442,462441,902899,49.562,28.6,6.224,3.284,8702.975
Europe,Finland,11-10-2021,147297,1100,26547.84,198.257,7224917,0.049,7786863,4163232,3623631,5548361,18.136,42.8,21.228,13.264,40585.721
Europe,France,11-10-2021,7157206,117966,105931.848,1745.983,,0.01,96292913,50642821,45085758,67564251,122.578,42,19.718,13.079,38605.671
Oceania,French Polynesia,05-10-2021,,,,,,,294961,153079,141882,282534,77.324,32.7,7.775,4.593,
Africa,Gabon,11-10-2021,32576,205,14295.061,89.958,1188832,0.013,186365,105903,80462,2278829,7.859,23.1,4.45,2.976,16562.413
Africa,Gambia,11-10-2021,9941,339,3997.287,136.312,,,208379,184817,171987,2486937,207.566,17.5,2.339,1.417,1561.767
