Nrand,region,Python,RapidMiner,R Language,SQL Language,Excel,Anaconda,Tensorflow,Tableau,scikit-learn,Keras,Apache Spark,with DL,with BD,ntools,Votes
2041,euro,1,1,0,0,0,0,0,0,0,0,0,0,0,4,MATLAB;RapidMiner;Java;Python
1290,usca,1,0,0,1,1,1,0,0,1,1,1,1,1,17,Amazon Machine Learning;Anaconda;Databricks Unified Analytics Platform;Domino Data Labs;Excel;H2O.ai;KNIME;Microsoft Power BI;Microsoft SQL Server;scikit-learn;Python;Scala;SQL Language;Unix shell/awk/gawk;Apache Spark;Spark SQL;Keras
1743,euro,1,1,1,1,1,0,0,0,0,0,1,0,1,8,Excel;H2O.ai;RapidMiner;Weka;Python;R Language;SQL Language;Apache Spark
2038,euro,1,0,0,0,1,1,1,0,1,1,0,1,0,8,Anaconda;Excel;PyCharm;scikit-learn;Python;Keras;PyTorch;Tensorflow
1374,asia,1,0,1,1,1,1,1,1,1,1,1,1,1,15,Anaconda;Excel;Gnu Octave;H2O.ai;MATLAB;scikit-learn;Tableau;C/C++;Python;R Language;SQL Language;Unix shell/awk/gawk;Apache Spark;Keras;Tensorflow
1726,afme,1,1,0,0,0,0,0,0,0,0,0,0,0,2,RapidMiner;Python
774,aunz,1,1,1,0,0,1,1,1,0,1,0,1,0,8,Anaconda;RapidMiner;Tableau;Weka;Python;R Language;Keras;Tensorflow
175,usca,1,0,0,0,1,1,1,0,1,0,0,1,0,5,Anaconda;Excel;scikit-learn;Python;Tensorflow
1617,euro,1,1,0,1,0,1,1,0,0,0,0,1,1,13,Anaconda;DataScience[.]com;Microsoft Power BI;Microsoft SQL Server;Pentaho;PyCharm;RapidMiner;Python;SQL Language;Open Source Hadoop Tools;SQL on Hadoop tools;PyTorch;Tensorflow
594,euro,0,0,0,1,1,0,0,1,0,0,0,0,0,5,Dataiku;Excel;MLlib;Tableau;SQL Language
1796,euro,1,0,0,1,0,0,0,0,0,0,0,0,0,6,Gnu Octave;Microsoft Azure Machine Learning;Microsoft Power BI;Microsoft SQL Server;Python;SQL Language
1608,usca,1,1,0,0,0,0,0,1,0,0,0,0,1,4,RapidMiner;Tableau;Python;Open Source Hadoop Tools
266,asia,1,1,0,0,0,1,0,1,0,1,0,1,1,7,Anaconda;PyCharm;RapidMiner;Tableau;Python;SQL on Hadoop tools;Keras
844,usca,1,1,0,1,0,1,0,1,0,0,0,0,0,8,Anaconda;IBM SPSS Modeler;QlikView;RapidMiner;Tableau;Java;Python;SQL Language
1712,euro,1,1,1,0,1,0,1,0,0,0,0,1,1,10,Dataiku;Excel;Gnu Octave;RapidMiner;Python;R Language;Unix shell/awk/gawk;Other programming and data languages;Open Source Hadoop Tools;Tensorflow
916,euro,1,0,0,0,0,0,1,0,0,1,1,1,1,8,Dataiku;H2O.ai;TIBCO Statistica;C/C++;Python;Apache Spark;Keras;Tensorflow
943,usca,1,0,0,0,0,1,1,0,0,1,1,1,1,16,Anaconda;Dataiku;MLlib;PyCharm;C/C++;Java;Python;Scala;Unix shell/awk/gawk;Apache Spark;Commercial Hadoop Tools;SQL on Hadoop tools;Spark SQL;Keras;PyTorch;Tensorflow
962,usca,1,0,0,0,0,0,1,0,1,1,0,1,0,6,PyCharm;scikit-learn;Python;Unix shell/awk/gawk;Keras;Tensorflow
1699,euro,0,1,0,1,1,0,0,0,0,0,0,1,1,6,Excel;IBM SPSS Statistics;RapidMiner;SQL Language;Open Source Hadoop Tools;Microsoft Cognitive Toolkit (Prev. CNTK) 
1591,euro,0,1,0,0,0,0,0,0,0,0,0,0,0,2,RapidMiner;C/C++
1550,euro,1,1,1,0,1,1,0,0,0,1,1,1,1,11,Anaconda;Databricks Unified Analytics Platform;Excel;Orange;PyCharm;RapidMiner;Weka;Python;R Language;Apache Spark;Keras
1878,asia,1,0,0,0,0,0,1,0,0,0,0,1,0,2,Python;Tensorflow
1504,usca,0,0,0,0,0,0,0,1,0,0,0,0,0,2,RapidInsight/Veera;Tableau
344,euro,0,1,1,1,1,0,0,1,0,0,0,0,0,11,Excel;IBM SPSS Modeler;Microsoft SQL Server;QlikView;RapidMiner;Tableau;TIBCO Statistica;Weka;Other paid analytics/data mining/data science software;R Language;SQL Language
2034,usca,1,0,0,0,0,1,1,0,1,1,0,1,0,6,Anaconda;KNIME;scikit-learn;Python;Keras;Tensorflow
399,usca,0,1,0,0,1,0,0,1,0,0,0,0,0,7,Alteryx;Excel;KNIME;Minitab/Salford Systems;RapidMiner;Tableau;Other free analytics/data mining tools
