year,rank_display,university,score,link,country,city,region,logo
2022,108,The University of Adelaide,57.9,https://www.topuniversities.com/universities/university-adelaide,Australia,Adelaide,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-adelaide_10_small.jpg
2022,=108,"University of California, Davis",57.9,https://www.topuniversities.com/universities/university-california-davis,United States,Davis,North America,https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small.jpg
2022,109,King Abdulaziz University (KAU),57.7,https://www.topuniversities.com/universities/king-abdulaziz-university-kau,Saudi Arabia,Jeddah,Asia,https://www.topuniversities.com/sites/default/files/king-abdulaziz-university-kau_1172_small.jpg
2022,110,Utrecht University,57.5,https://www.topuniversities.com/universities/utrecht-university,Netherlands,Utrecht,Europe,https://www.topuniversities.com/sites/default/files/utrecht-university_646_small.jpg
2022,111,Université de Montréal ,57.3,https://www.topuniversities.com/universities/universite-de-montreal,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/universit-de-montral_417_small.jpg
2022,=112,Aalto University,57,https://www.topuniversities.com/universities/aalto-university,Finland,Espoo,Europe,https://www.topuniversities.com/sites/default/files/aalto-university_261_small.jpg
2022,=112,Boston University,57,https://www.topuniversities.com/universities/boston-university,United States,Boston,North America,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg
2022,=112,Leiden University,57,https://www.topuniversities.com/universities/leiden-university,Netherlands,Leiden,Europe,https://www.topuniversities.com/sites/default/files/leiden-university_340_small.jpg
2022,=112,University of Southern California,57,https://www.topuniversities.com/universities/university-southern-california,United States,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_small.jpg
2022,116,Purdue University,56.9,https://www.topuniversities.com/universities/purdue-university,United States,West Lafayette,North America,https://www.topuniversities.com/sites/default/files/purdue-university_510_small.jpg
2022,117,Queen Mary University of London,56.7,https://www.topuniversities.com/universities/queen-mary-university-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg
2022,118,Nagoya University,56.2,https://www.topuniversities.com/universities/nagoya-university,Japan,Nagoya,Asia,https://www.topuniversities.com/sites/default/files/nagoya-university_427_small.jpg
2022,119,University of Bern,56.1,https://www.topuniversities.com/universities/university-bern,Switzerland,Bern,Europe,https://www.topuniversities.com/sites/default/files/university-of-bern_55_small.jpg
2022,120,The Ohio State University,56,https://www.topuniversities.com/universities/ohio-state-university,United States,Columbus,North America,https://www.topuniversities.com/sites/default/files/the-ohio-state-university_465_small.jpg
2022,=121,Chalmers University of Technology,55.9,https://www.topuniversities.com/universities/chalmers-university-technology,Sweden,Gothenburg,Europe,https://www.topuniversities.com/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg
2022,=121,Universidade de São Paulo,55.9,https://www.topuniversities.com/universities/universidade-de-sao-paulo,Brazil,São Paulo,Latin America,https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_small.jpg
2022,123,Wageningen University & Research,55.8,https://www.topuniversities.com/universities/wageningen-university-research,Netherlands,Wageningen,Europe,https://www.topuniversities.com/sites/default/files/wageningen-university_659_small.jpg
2022,124,Uppsala University,55.4,https://www.topuniversities.com/universities/uppsala-university,Sweden,Uppsala,Europe,https://www.topuniversities.com/sites/default/files/uppsala-university_643_small.jpg
2022,125,Eindhoven University of Technology,55.3,https://www.topuniversities.com/universities/eindhoven-university-technology,Netherlands,Eindhoven,Europe,https://www.topuniversities.com/sites/default/files/eindhoven-university-of-technology_592560cf2aeae70239af4b3c_small.jpg
2022,126,University of Alberta,55.2,https://www.topuniversities.com/universities/university-alberta,Canada,Edmonton,North America,https://www.topuniversities.com/sites/default/files/university-of-alberta_15_small.jpg
2022,127,Freie Universitaet Berlin,54.9,https://www.topuniversities.com/universities/freie-universitaet-berlin,Germany,Berlin,Europe,https://www.topuniversities.com/sites/default/files/freie-universitaet-berlin_215_small.jpg
2022,=128,Humboldt-Universität zu Berlin,54.8,https://www.topuniversities.com/universities/humboldt-universitat-zu-berlin,Germany,Berlin,Europe,https://www.topuniversities.com/sites/default/files/humboldt-universitt-zu-berlin_272_small.jpg
2022,=128,University of Groningen,54.8,https://www.topuniversities.com/universities/university-groningen,Netherlands,Groningen,Europe,https://www.topuniversities.com/sites/default/files/university-of-groningen_243_small.jpg
2022,130,École Normale Supérieure de Lyon,54.6,https://www.topuniversities.com/universities/ecole-normale-superieure-de-lyon,France,Lyon,Europe,https://www.topuniversities.com/sites/default/files/cole-normale-suprieure-de-lyon_175_small.jpg
2022,131,Nanjing University,54.2,https://www.topuniversities.com/universities/nanjing-university,China (Mainland),Nanjing,Asia,https://www.topuniversities.com/sites/default/files/nanjing-university_430_small.jpg
2022,132,Lancaster University,54,https://www.topuniversities.com/universities/lancaster-university,United Kingdom,Lancaster,Europe,https://www.topuniversities.com/sites/default/files/lancaster-university_335_small.jpg
2022,133,University of Technology Sydney,53.9,https://www.topuniversities.com/universities/university-technology-sydney,Australia,Haymarket,Oceania,https://www.topuniversities.com/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_small.jpg
2022,134,Newcastle University,53.8,https://www.topuniversities.com/universities/newcastle-university,United Kingdom,Newcastle upon Tyne,Europe,https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg
2022,135,Pontificia Universidad Católica de Chile (UC),53.6,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc,Chile,Santiago,Latin America,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg
2022,136,"KIT, Karlsruhe Institute of Technology",53.4,https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology,Germany,Karlsruhe,Europe,https://www.topuniversities.com/sites/default/files/kit-karlsruhe-institute-of-technology_310_small.jpg
2022,137,Kyushu University,53.3,https://www.topuniversities.com/universities/kyushu-university,Japan,Fukuoka City,Asia,https://www.topuniversities.com/sites/default/files/kyushu-university_331_small.jpg
2022,=138,University of Basel,53,https://www.topuniversities.com/universities/university-basel,Switzerland,Basel,Europe,https://www.topuniversities.com/sites/default/files/university-of-basel_46_small.jpg
