Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,Full_Add,Lat,Lon
Travel Agents,SELCO GLOBAL HOLIDAYS,"NO.31, 1ST CHAPPEL LANE, COLOMBO 6",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.31, 1ST CHAPPEL LANE, COLOMBO 6, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,HERITAGE HOLIDAY LANKA (PVT) LTD,"NO.63/1B, KANDY ROAD, KIRIBATHGODA",,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,"NO.63/1B, KANDY ROAD, KIRIBATHGODA, Gampaha, Sri Lanka",79.927390767,6.978059805
Travel Agents,V V K TOURS & TRAVELS (PVT) LTD,"NO.66/1, KANDY ROAD, DALUGAMA, KELANIYA",,Colombo,Kolonna Pradeshiya Sabha,Kolonnawa Divisional Secretariat,"NO.66/1, KANDY ROAD, DALUGAMA, KELANIYA, Colombo, Sri Lanka",80.5675690993667,7.23909238125421
Travel Agents,LECS TRAVELS (PVT) LTD,"2ND FLOOR, AUTO MOBILE ASSOCIATION BUILDING, NO.40, SIR MOHOMED MAKAN MAKER MW., COLOMBO 3",,Colombo,Colombo,Colombo Divisional Secretariat,"2ND FLOOR, AUTO MOBILE ASSOCIATION BUILDING, NO.40, SIR MOHOMED MAKAN MAKER MW., COLOMBO 3, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,THE BOTTOM LINE HOLIDAYS (PVT) LIMITED,"SUNCITY, NO.18-2/2, ST.ANTHONYS MAWATHA, COLOMBO 3.",,Colombo,Colombo,Colombo Divisional Secretariat,"SUNCITY, NO.18-2/2, ST.ANTHONYS MAWATHA, COLOMBO 3., Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,AIRPORT TRAVELS (PVT) LTD,"NO.21, DEAL PLACE, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.21, DEAL PLACE, COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,A J TRAVEL,"110, NEW GALLE ROAD, MORATUWA",,Colombo,Moratuwa,Moratuwa Divisional Secretariat,"110, NEW GALLE ROAD, MORATUWA, Colombo, Sri Lanka",79.888881,6.790527
Travel Agents,AL-AQSA GLOBAL (PVT)LTD,"NO. 86 A 1/1, WATARAPPALA ROAD, MOUNT LAVINIA",,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 86 A 1/1, WATARAPPALA ROAD, MOUNT LAVINIA, Colombo, Sri Lanka",79.866418,6.842919
Travel Agents,ASIAN WINGS (PVT) LTD,"NO.64, W.A.D. RAMANAYAKE MAWATHA, COLOMBO 2",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.64, W.A.D. RAMANAYAKE MAWATHA, COLOMBO 2, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,WAYFARERS (PVT) LTD,"NO.6, BOYD PLACE, COLOMBO 3",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.6, BOYD PLACE, COLOMBO 3, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,EURO ASIA TRAVELS (PVT) LTD,"NO.51/2, ANANDA COOMARASWAMY MAWATHA, COLOMBO 07",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.51/2, ANANDA COOMARASWAMY MAWATHA, COLOMBO 07, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,AKQUASUN LANKA (PVT) LIMITED,"L12, EAST TOWER, WORLD TRADE CENTER, COLOMBO 01",,Colombo,Colombo,Colombo Divisional Secretariat,"L12, EAST TOWER, WORLD TRADE CENTER, COLOMBO 01, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,HELANKA VACATIONS (PTE) LTD,"LEVEL 06, ACCESS TOWERS, NO.278, UNION PLACE, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat,"LEVEL 06, ACCESS TOWERS, NO.278, UNION PLACE, COLOMBO 02, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,MULTHAZAM ENTERPRISES & TRAVELS,"NO.262K, MAIN STREET, SAINTHAMARUTHU- 07",,Ampara,Kalmunai,Kalmunai Divisional Secretariat,"NO.262K, MAIN STREET, SAINTHAMARUTHU- 07, Ampara, Sri Lanka",81.8341709766537,7.39446457472978
Travel Agents,AATHIKA HAJ TRAVELS,"NO.18/1, MATALE ROAD, KATUGASTOTA, KANDY",,Kandy,Kandy,Kandy Divisional Secretariat,"NO.18/1, MATALE ROAD, KATUGASTOTA, KANDY, Kandy, Sri Lanka",80.625828,7.295044
