seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
29750,2022,4917,Charles Bassey,NA,PF,21,1,NBA,PHI,23,168,21.5,0.66,0.085,0.255,14.9,26.1,20.6,6.5,1.5,9.1,13.3,16.1,0.4,0.3,0.8,0.22,-0.3,2.2,1.9,0.2
29751,2022,4700,Charlie Brown,NA,SG,24,3,NBA,TOT,22,177,6.5,0.346,0.308,0.256,9,11.2,10.1,4.5,2.8,2,10.3,12.3,-0.2,0.2,0,0.012,-5.2,0.4,-4.8,-0.1
29752,2022,4700,Charlie Brown,NA,SG,24,3,NBA,DAL,3,15,5.1,0.2,0.6,0,0,7.4,3.7,8.9,6.7,6,0,15,-0.1,0,0,-0.05,-7.7,5.1,-2.6,0
29753,2022,4700,Charlie Brown,NA,SG,24,3,NBA,PHI,19,162,6.6,0.365,0.265,0.294,9.8,11.5,10.7,4.1,2.5,1.7,11.5,12,-0.1,0.2,0.1,0.018,-5,-0.1,-5,-0.1
29754,2022,4918,Chaundee Brown Jr.,NA,SG-SF,23,1,NBA,TOT,5,104,6.4,0.447,0.563,0.188,1.1,15.7,8.4,5.1,0.9,0,2.8,14.9,0,0,0,0.002,-4.3,-2.4,-6.6,-0.1
29755,2022,4918,Chaundee Brown Jr.,NA,SF,23,1,NBA,LAL,2,21,-8.7,0.143,0.429,0,0,10.2,5.1,0,0,0,12.5,16.4,-0.1,0,-0.1,-0.306,-11.6,-5,-16.6,-0.1
29756,2022,4918,Chaundee Brown Jr.,NA,SG,23,1,NBA,ATL,3,83,10.3,0.525,0.6,0.24,1.3,17,9.2,6.4,1.2,0,0,14.6,0.1,0,0.1,0.08,-2.4,-1.7,-4.1,0
29757,2022,4385,Cheick Diallo,NA,C,25,5,NBA,DET,3,31,12.3,0.517,0,0.75,13.3,29.4,20.9,0,1.6,0,8.6,16.1,0,0,0.1,0.108,-4.2,-3.3,-7.5,0
29758,2022,4597,Chimezie Metu,NA,C,24,4,NBA,SAC,60,1279,13.4,0.546,0.414,0.203,2.9,25.9,14.3,6.9,1.9,2.2,11.1,18.5,0.1,1.4,1.5,0.056,-1.6,0.1,-1.5,0.2
29759,2022,4481,Chris Boucher,NA,PF,29,5,NBA,TOR,80,1690,17.9,0.57,0.397,0.334,10.9,21.3,15.8,2.2,1.4,4.3,6,17.8,3.5,2.4,6,0.169,0.5,-0.4,0,0.9
29760,2022,4598,Chris Chiozza,NA,PG,26,4,NBA,GSW,34,372,4.4,0.407,0.654,0.037,2.7,7.7,5.3,22.5,1.7,0,28,13.4,-0.5,0.5,0,-0.004,-5.7,-0.2,-6,-0.4
