seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
29630,2021,4682,Wendell Carter Jr.,NA,C,21,3,NBA,ORL,22,19,583,6.2,12.7,0.493,0.4,1.8,0.241,5.8,10.9,0.534,3,4.2,0.721,3.8,8.1,11.9,2.2,1,1.1,1.8,3.1,15.9
29631,2021,4800,Wenyen Gabriel,NA,PF,23,2,NBA,NOP,21,0,241,3.6,9,0.4,1.9,4.8,0.406,1.6,4.2,0.393,1.6,2.5,0.647,3,5.1,8.1,1.6,1.3,1.2,2.2,4.8,10.8
29632,2021,4578,Wesley Iwundu,NA,SF,26,4,NBA,TOT,41,4,539,2.3,6.8,0.333,0.3,2.7,0.122,1.9,4.1,0.475,1.7,2.1,0.839,1,5,6,1.2,1,0.3,1.3,3.3,6.6
29633,2021,4578,Wesley Iwundu,NA,SF,26,4,NBA,DAL,23,3,288,2.1,6.5,0.327,0.4,2.9,0.13,1.7,3.6,0.483,1.5,1.7,0.857,0.7,4.7,5.5,1.2,1.1,0.4,0.7,3.2,6.1
29634,2021,4578,Wesley Iwundu,NA,SF,26,4,NBA,NOP,18,1,251,2.4,7.2,0.34,0.3,2.6,0.111,2.2,4.6,0.469,2,2.4,0.824,1.3,5.3,6.6,1.1,0.9,0.1,1.9,3.3,7.2
29635,2021,3914,Wesley Matthews,NA,SG,34,12,NBA,LAL,58,10,1130,2.8,8,0.353,2.1,6.3,0.335,0.7,1.8,0.418,1.1,1.3,0.854,0.6,2.3,3,1.7,1.2,0.5,0.8,2.5,8.9
29636,2021,4140,Will Barton,NA,SF,30,9,NBA,DEN,56,52,1736,5.4,12.6,0.426,2,5.3,0.381,3.3,7.3,0.459,2,2.5,0.785,0.8,3.9,4.7,3.8,1,0.5,2,2,14.7
29637,2021,4896,Will Magnay,NA,C,22,1,NBA,NOP,1,0,3,0,12,0,0,12,0,0,0,NA,0,0,NA,0,0,0,0,0,0,12,12,0
29638,2021,4371,Willie Cauley-Stein,NA,C,27,6,NBA,DAL,53,16,906,4.6,7.2,0.632,0,0.4,0.091,4.5,6.8,0.667,1.9,3.1,0.628,2.6,6.8,9.4,1.4,0.8,1.7,1.2,5.1,11.1
29639,2021,4460,Willy Hernangómez,NA,C,26,5,NBA,NOP,47,12,846,6.4,11.4,0.563,0,0.4,0.1,6.4,11,0.581,2.6,4,0.667,5,9.2,14.2,2.1,0.9,1,1.4,2.9,15.5
