Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
HII,2017,Huntington Ingalls Industries,USA,Defense contractors,$10.66 B,$7.44 B,$0.86 B
HII,2018,Huntington Ingalls Industries,USA,Defense contractors,$7.97 B,$8.17 B,$1.02 B
HII,2019,Huntington Ingalls Industries,USA,Defense contractors,$10.23 B,$8.89 B,$0.75 B
HII,2020,Huntington Ingalls Industries,USA,Defense contractors,$6.90 B,$9.36 B,$0.92 B
HII,2021,Huntington Ingalls Industries,USA,Defense contractors,$7.48 B,,
HII,2022,Huntington Ingalls Industries,USA,Defense contractors,$8.71 B,,
HO.PA,2022,Thales,France,Defense contractors|CAC 40,$25.25 B,,
HON,2001,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$27.66 B,$23.65 B,$0.15 B
HON,2002,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$20.50 B,$22.27 B,$1.90 B
HON,2003,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$28.82 B,$23.10 B,$1.91 B
HON,2004,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$30.09 B,$25.60 B,$1.70 B
HON,2005,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$30.89 B,$27.65 B,$2.48 B
HON,2006,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$36.21 B,$31.36 B,$3.06 B
HON,2007,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$45.96 B,$34.58 B,$3.72 B
HON,2008,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$23.84 B,$36.55 B,$3.52 B
HON,2009,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$29.95 B,$30.90 B,$3.43 B
HON,2010,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$41.62 B,$33.37 B,$3.22 B
HON,2011,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$42.03 B,$36.76 B,$2.68 B
HON,2012,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$49.68 B,$37.66 B,$4.22 B
HON,2013,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$71.61 B,$39.05 B,$5.73 B
HON,2014,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$78.15 B,$40.30 B,$6.13 B
