Rank,University,Town
181,Universitas Islam Kalimantan Muhammad Arsyad Al Banjari,Banjarmasin
182,Universitas Pertamina,Jakarta
183,Universitas Warmadewa,Denpasar
184,Universitas 17 Agustus 1945,Jakarta
185,Universitas Darussalam Ambon,Ambon
186,Universitas Prima Indonesia,Medan
187,Universitas Teknologi Yogyakarta,Sleman
188,Universitas Muhammadiyah Banjarmasin,Banjarmasin
189,Universitas Setia Budi Surakarta,Surakarta
190,Universitas Lancang Kuning,Pekanbaru
191,Universitas Muhammadiyah Riau,Pekanbaru
192,Universitas Hamzanwadi,Lombok Timur
193,Universitas Negeri Manado,Minahasa
194,Universitas Ibn Khaldun,Bogor
195,Universitas Dehasen Bengkulu,Bengkulu
196,Universitas Sains Al-Qur'an,Wonosobo
197,Universitas Bung Hatta,Padang
198,Universitas Internasional Batam,Batam
199,Universitas Respati Indonesia,Jakarta
200,Universitas Kristen Krida Wacana,Jakarta
201,Universitas Teuku Umar,Aceh Barat
202,Universitas Cenderawasih,Jayapura
203,Universitas Galuh Ciamis,Ciamis
204,Universitas Islam Nahdlatul Ulama,Jepara
205,Universitas Swiss German,Tangerang
206,Universitas Indraprasta PGRI,Jakarta
207,Universitas PGRI Yogyakarta,Bantul
208,Universitas HKBP Nommensen,Medan
209,Universitas Muhammadiyah Cirebon,Cirebon
210,Universitas Islam Darul Ulum Lamongan,Lamongan
211,Universitas Muhammadiyah Sukabumi,Sukabumi
212,Universitas Pembangunan Panca Budi,Medan
213,Universitas PGRI Adi Buana,Surabaya
214,Universitas Mahasaraswati Denpasar,Denpasar
215,Universitas Pembangunan Jaya,Tangerang Selatan
216,Universitas Bandar Lampung,Bandar Lampung
217,Universitas Balikpapan,Balikpapan
218,Universitas Islam Negeri Imam Bonjol,Padang
219,Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Serang
220,Universitas Cokroaminoto Palopo,Palopo
221,Universitas Islam Negeri Mataram,Mataram
222,Universitas Ma Chung,Malang
223,Universitas Muhammadiyah Luwuk Banggai,Banggai
224,Universitas Muhammadiyah Mataram,Mataram
225,Universitas Majalengka,Majalengka
226,Universitas Muhammadiyah Tangerang,Tangerang
227,Institut Teknologi Nasional Malang,Malang
228,Universitas Katolik Widya Mandira,Kupang
229,Universitas Teknokrat Indonesia,Bandar Lampung
230,Universitas Ngudi Waluyo,Ungaran
231,Universitas Jayabaya,Jakarta
232,Universitas Panca Marga,Probolinggo
233,Universitas Persada Indonesia YAI,Jakarta
234,Universitas Riau Kepulauan,Batam
235,Universitas Proklamasi 45,Sleman
236,Universitas Muhammadiyah Kalimantan Timur,Samarinda
237,Universitas Musamus Merauke,Merauke
238,Universitas Prasetiya Mulya,Jakarta
239,Universitas Pancasakti,Tegal
240,Universitas Pekalongan,Pekalongan
241,Universitas Muhammadiyah Pontianak,Pontianak
242,Universitas Advent Indonesia,Bandung
243,Institut Seni Indonesia Padang Panjang,Padangpanjang
244,Universitas Sampoerna,Jakarta
245,Universitas Serambi Mekkah,Banda Aceh
246,Universitas Janabadra,Yogyakarta
247,Universitas Pendidikan Nasional,Denpasar
248,Universitas Putra Indonesia YPTK Padang,Padang
249,Universitas Muhammadiyah Kudus,Kudus
250,Universitas Borneo Tarakan,Tarakan
251,Universitas Muhammadiyah Palu,Palu
252,Universitas Yudharta Pasuruan,Pasuruan
253,Universitas Putera Batam,Batam
254,Universitas Fajar,Makassar
255,Universitas Podomoro,Jakarta
256,Universitas Sahid,Jakarta
