Date,City,State,Dead,Injured,Total,Description
2022-05-20,San Bernardino,California,1,9,10,"A shooting occurred at an after-prom party, leaving one dead and nine injured."
2022-05-20,New Orleans,Louisiana,1,3,4,"Four people were shot, one fatally, in the Holy Cross neighborhood."
2022-05-20,Kissimmee,Florida,1,3,4,A drive-by shooting in front of a grocery store wounded three and killed one.
2022-05-19,Chicago,Illinois,2,8,10,"Magnificent Mile shooting: An individual opened fire during an altercation between two groups of teenagers, killing two and injuring eight. The shooter engaged in a chase with police in the subway, during which a woman fell onto the train tracks and was electrocuted during the chaos."
2022-05-19,Houston,Texas,4,0,4,"An estranged husband opened fire on his wife, killing her, their daughter, and his mother-in-law before committing suicide."
2022-05-18,Philadelphia,Pennsylvania,0,5,5,"Five people were shot in the Cecil B. Moore neighborhood, including a teenager."
2022-05-17,East Palo Alto,California,1,3,4,"Four people were shot, one of them fatally, at a park in a targeted attack."
2022-05-15,Laguna Woods,California,1,5,6,"2022 Laguna Woods shooting: A man motivated by anti-Taiwanese sentiment opened fire at a church, killing one and wounding five others, before being physically restrained by churchgoers."
2022-05-15,Amarillo,Texas,1,4,5,"Five people were shot at a nightclub in the morning, with one person dying."
2022-05-15,Elizabeth City,North Carolina,0,4,4,Two teenagers and two juveniles were shot at a house in the Shepard Street–South Road Street Historic District.
2022-05-15,Winston-Salem,North Carolina,0,7,7,Seven people were shot in three connected shootings that preceded an exchange of gunfire.
2022-05-15,Houston,Texas,2,3,5,"Two people were killed, and three others were injured, at a flea market after an argument escalated into a shooting in the Meadowviewland neighborhood."
2022-05-14,Buffalo,New York,10,3,13,"2022 Buffalo shooting: An 18-year-old white supremacist clad in body armor opened fire at a Tops supermarket, killing ten, including a security guard, and wounding three others."
2022-05-13,Milwaukee,Wisconsin,0,17,17,A gunfight among several groups of people wounded seventeen people following an NBA game in the East Town neighborhood.
2022-05-13,Dallas,Texas,2,3,5,"Two people were killed, and three were injured, in a shooting in the Deep Ellum neighborhood."
2022-05-12,Hot Springs,Arkansas,0,4,4,A fight outside a convention center following a high school graduation ceremony led to a shooting that injured four. No students or graduates were involved in the shooting or the fight.
2022-05-11,Paterson,New Jersey,1,4,5,"A teenage girl was killed, and four men wounded, in a shooting in the Sandy Hill neighborhood."
2022-05-11,Chicago,Illinois,0,4,4,"Four people, including two children, were shot while they drove together in a vehicle in the West Englewood neighborhood."
2022-05-11,Saint Louis,Missouri,1,3,4,"Four people, including a teenager and a baby, were injured in an ambush while they drove in a car in the Mark Twain neighborhood. One of the adult victims later succumbed to his injuries."
2022-05-11,Indianapolis,Indiana,0,4,4,"Four people, including two teenagers, were shot along the Canal Walk after two groups of people began shooting at each other across the water following an argument."
2022-05-10,Chicago,Illinois,1,4,5,"Five teenagers outside in the Back of the Yards neighborhood on the South Side were shot, one fatally, by multiple occupants of a stolen vehicle."
2022-05-10,Baltimore,Maryl,1,3,4,"Four people were shot, one fatally, in the Milton-Montford neighborhood."
2022-05-10,Philadelphia,Pennsylvania,0,4,4,"Four people were shot, including two teenagers, in the Kensington neighborhood."
2022-05-10,Brookshire,Texas,1,3,4,"A shooter shot four people, one fatally, before fleeing and sparking a manhunt."
2022-05-10,Chicago,Illinois,0,6,6,Six people were shot by two men in a drive-by shooting in the Jackson Park neighborhood on the South Side.
2022-05-10,Baltimore,Maryl,0,5,5,Five people were shot during a confrontation between two groups after at least one of the groups opened fire in northwestern Baltimore.
2022-05-09,Tuscaloosa,Alabama,0,5,5,An argument in the common area of an apartment complex led to a shooting that injured five.
2022-05-09,Detroit,Michigan,0,4,4,"A fight amongst a group of people in the Chandler Park neighborhood on the city's east side led to four people, including three teenagers, being shot."
2022-05-08,Clarkston,Georgia,3,3,6,"Three people were killed, and another three were injured, in a shooting at a condominium complex. The shooter has not been found."
2022-05-07,Garland,Texas,2,2,4,"A shooting outside a house party left two teenagers dead, and two others injured, shortly before midnight."
2022-05-07,Brownsville,Florida,0,4,4,"A fight during an informal car meet among a group of people led to a shooting that injured four, including two juveniles."
2022-05-07,Lexington,Kentucky,2,3,5,"A shooting during the very early morning killed two, and wounded three."
2022-05-06,New Orleans,Louisiana,2,4,6,"A shooting in the Village de L'Est neighborhood left two killed, and four others wounded."
2022-05-05,Sunnyside,Washington,0,5,5,"During a Cinco de Mayo festival, a gang member shot at a member of a rival gang who was in a crowd of people, wounding five bystanders--including four children. The shooting prompted the cancellation of the event. A 13-year old boy has now been arrested as the suspected shooter."
2022-05-03,Chicago,Illinois,0,4,4,Three people were shot in the Chicago Loop as they sat at a red light at an intersection by two people. Another person was shot by a stray bullet as they crossed the street.
2022-05-03,Beaumont,Texas,0,5,5,"An unknown shooter opened fire through an apartment window, and wounded five people."
2022-05-03,Baton Rouge,Louisiana,0,5,5,Five people were injured in a shooting incident during the evening.
2022-05-03,Newkirk,Oklahoma,0,4,4,A shooting at a casino in Kaw Nation territory wounded four.
2022-05-01,Tarpon Springs,Florida,0,6,6,"An argument among a group of people led to someone opening fire, wounding six."
2022-05-01,Springfield,Ohio,1,4,5,"Five people were shot, one fatally, on a street in the early morning."
2022-05-01,Lafayette,Louisiana,0,12,12,Officers responding to shots fired engaged an active shooter and shot the attacker. Eleven people were shot before police stopped the shooter.
