Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","234","Uruguay","5110","Area","6601","Land area","2013","2013","1000 ha","17502","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","235","Uzbekistan","5110","Area","6601","Land area","2013","2013","1000 ha","42540","Fm","Manual Estimation"
"RL","Land Use","155","Vanuatu","5110","Area","6601","Land area","2013","2013","1000 ha","1219","Fm","Manual Estimation"
"RL","Land Use","236","Venezuela (Bolivarian Republic of)","5110","Area","6601","Land area","2013","2013","1000 ha","88205","Fm","Manual Estimation"
"RL","Land Use","237","Viet Nam","5110","Area","6601","Land area","2013","2013","1000 ha","31007","Fm","Manual Estimation"
"RL","Land Use","243","Wallis and Futuna Islands","5110","Area","6601","Land area","2013","2013","1000 ha","14","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","205","Western Sahara","5110","Area","6601","Land area","2013","2013","1000 ha","26600","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","249","Yemen","5110","Area","6601","Land area","2013","2013","1000 ha","52797","Fm","Manual Estimation"
"RL","Land Use","251","Zambia","5110","Area","6601","Land area","2013","2013","1000 ha","74339","Fm","Manual Estimation"
"RL","Land Use","181","Zimbabwe","5110","Area","6601","Land area","2013","2013","1000 ha","38685","Fm","Manual Estimation"
