personLabel,birth,death,age,genderLabel
Michael J. Adams,1930-05-05T00:00:00Z,1967-11-15T00:00:00Z,37,male
Michael J. Bloomfield,1959-03-16T00:00:00Z,,,male
Michael J. Massimino,1962-08-19T00:00:00Z,,,male
Michael J. McCulley,1943-08-04T00:00:00Z,,,male
Michael J. Smith,1945-04-30T00:00:00Z,1986-01-28T00:00:00Z,41,male
Michael L. Gernhardt,1956-05-04T00:00:00Z,,,male
Michael Lampton,1941-03-01T00:00:00Z,,,male
Michael López-Alegría,1958-05-30T00:00:00Z,,,male
Michael P. Anderson,1959-12-25T00:00:00Z,2003-02-01T00:00:00Z,44,male
Michael R. Clifford,1952-10-13T00:00:00Z,,,male
