RANKING ,VIDEO GAME NAME ,Year,genre,Rating,DETAILS,DIRECTOR ,ACTOR-1,ACTOR-2,ACTOR-3,ACTOR-4,VOTES ,certificate
52,The Walking Dead,(2012 Video Game),"Drama, Horror, Sci-Fi",9.2,"In a world devastated by the undead, a convicted criminal is given a second chance at life when he comes across a little girl named Clementine.",Sean Ainsworth,Sean Vanaman,Dennis Lenart,Eric Parsons,Jake Rodkin,11832,M
53,Batman: Arkham Asylum,(2009 Video Game),"Action, Crime, Fantasy",9.2,You control Batman as he fights to subdue The Joker and his fellow inmates when they seize control of the Asylum on Arkham Island.,Sefton Hill,Mark Hamill,Kevin Conroy,Arleen Sorkin,Tom Kane,25883,T
54,Mass Effect,(2007 Video Game),"Action, Adventure, Sci-Fi",9.2,"In a technologically advanced future, an elite human soldier takes command of a prototype star ship and works to defend the galaxy from danger.",Casey Hudson,Steven Barr,Kimberly Brooks,Keith David,Seth Green,17438,M
55,God of War II,(2007 Video Game),"Action, Adventure, Fantasy",9.2,"After being betrayed by the gods of Olympus and annulled of his divine powers, Kratos must embark on a journey to meet the Sisters of Fate and take his revenge on Olympus.",Cory Barlog,Linda Hunt,Terrence 'T.C.' Carson,Michael Clarke Duncan,Carole Ruggier,8593,M
56,Resident Evil 4,(2005 Video Game),"Action, Adventure, Horror",9.2,"Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.",Kuniomi Matsushita,Salli Saffioti,Paul Mercier,Carolyn Lawrence,Rino Romano,12299,M
57,Mafia: The City of Lost Heaven,(2002 Video Game),"Action, Crime, Drama",9.2,You play a 1930s mobster as you act out your confession of your rise in the ranks of organized crime.,Daniel Vávra,Michael Sorvino,William DeMeo,George DiCenzo,Matt Servitto,5691,M
58,Kingdom Hearts,(2002 Video Game),"Action, Adventure, Family",9.2,"When his world is destroyed and his friends mysteriously disappear, a young boy named Sora is thrust into a quest to find his missing friends and prevent the armies of darkness from destroying many other worlds.",Tetsuya Nomura,Miyu Irino,Mamoru Miyano,Risa Uchida,Kôichi Yamadera,7132,E
59,Grand Theft Auto: Vice City,(2002 Video Game),"Action, Crime, Drama",9.2,"After being released from jail, Tommy Vercetti left Liberty City for Vice City, a city overrun by the mob. Now, Tommy is out to make Vice City his home.",Ray Liotta,William Fichtner,Tom Sizemore,Dennis Hopper,,25276,M
60,Max Payne,(2001 Video Game),"Action, Crime, Drama",9.2,"A troubled NYPD cop is framed for murder and finds himself being hunted by the police, the mob, and a ruthless corporation.",James McCaffrey,Haviland Morris,Chris Phillips,Jane Gennaro,,14601,M
61,Deus Ex,(2000 Video Game),"Action, Adventure, Drama",9.2,"In a dark cyberpunk future where poverty, disease, oppression and terrorism are widespread, J.C. Denton, a new cybernetically-enhanced special agent, finds evidence of a massive conspiracy when his brother, also an agent, goes rogue.",Warren Spector,Jay Anthony Franke,Brent Anderson,Ralph Barbagallo,Chad Bannon,3127,M
62,Castlevania: Symphony of the Night,(1997 Video Game),"Action, Adventure, Fantasy",9.2,"Richter Belmont has vanished just as Castlevania reemerged from the mists. Meanwhile, Alucard, the bastard son of Dracula, has awakened from his eternal slumber, intent on destroying his evil father once and for all.",Toru Hagihara,Robert Belgrade,Ramsay Scott,Kimberly Forsythe,Michael Guinn,1523,T
63,Super Mario Bros. 3,(1988 Video Game),"Action, Adventure, Family",9.2,"King Koopa has kidnapped Princess Toadstool, taken over all seven kingdoms in the Mushroom World, and put his seven kids in charge of all of them. It's the Mario Brothers to the rescue.",Shigeru Miyamoto,Takashi Tezuka,,,,4904,
64,Monkey Island 2: LeChuck's Revenge,(1991 Video Game),"Adventure, Comedy, Fantasy",9.3,"Having vanquished the ghost pirate LeChuck with a soft drink, Guybrush Threepwood now seeks the treasure of Big Whoop. During his quest he discovers LeChuck is back from the dead. Once again.",Ron Gilbert,Dominic Armato,Earl Boen,Alexandra Boyd,Leilani Jones,2310,
65,Half-Life,(1998 Video Game),"Action, Sci-Fi, Thriller",9.2,Dr. Gordon Freeman must fight his way out of a secret research facility after a teleportation experiment goes disastrously wrong.,Randy Pitchford,Kathy Levin,Lani Minella,Brice Armstrong,Harry S. Robins,9741,M
66,Grim Fandango,(1998 Video Game),"Adventure, Comedy, Crime",9.2,Manuel Calavera is a travel agent in The Land of the Dead who has stumbled across a ring of corruption.,Tim Schafer,Tony Plana,Maria Canals-Barrera,Alan Blumenfeld,Pamela Adlon,3447,T
67,Fallout: A Post-Nuclear Role-Playing Game,(1997 Video Game),"Action, Adventure, Sci-Fi",9.2,"After being sent by the overseer of his vault to search for a new water purifying chip, the player discovers the horrors of post apocalyptic America, and the threat of the Master's Army.",Feargus Urquhart,Charlie Adler,Richard Dean Anderson,Jeff Bennett,Clancy Brown,3678,M
