"Season","Player","WS"
1981,"Phil Ford",5.2
1981,"Phil Hubbard",4.5
1981,"Phil Smith",4.8
1981,"Purvis Short",5.4
1981,"Quinn Buckner",5.4
1981,"Ralph Drollinger",-0.2
1981,"Randy Smith",3.3
1981,"Ray Williams",7.2
1981,"Reggie Carter",0.1
1981,"Reggie Johnson",3
1981,"Reggie King",8.3
1981,"Reggie Theus",9.2
1981,"Rich Kelley",4.3
1981,"Richard Washington",2.1
1981,"Rick Mahorn",1.8
1981,"Rick Robey",3.7
1981,"Rickey Brown",0.9
1981,"Rickey Green",1.8
1981,"Ricky Sobers",3.8
1981,"Robert Parish*",10.9
1981,"Robert Reid",7.2
1981,"Robert Smith",0
1981,"Roger Phegley",3.7
1981,"Ron Boone",-0.6
1981,"Ron Brewer",1.4
1981,"Ron Davis",0.6
1981,"Ron Lee",1.4
1981,"Ronnie Lester",0
1981,"Ronnie Valentine",-0.3
1981,"Rory Sparrow",-0.1
1981,"Roy Hamilton",0
1981,"Rudy Tomjanovich",2.1
1981,"Rudy White",0
1981,"Sam Lacey",4
1981,"Sam Pellom",2.2
1981,"Sam Worthen",0.7
1981,"Scott Lloyd",1
1981,"Scott May",2.2
1981,"Scott Wedman",4.7
1981,"Sidney Moncrief",9.9
1981,"Sidney Wicks",0.4
1981,"Sly Williams",5.1
1981,"Sonny Parker",2.3
1981,"Stan Pietkiewicz",0.6
1981,"Steve Hawes",5.7
1981,"Steve Mix",5.5
1981,"Swen Nater",8.6
1981,"T.R. Dunn",1.6
1981,"Terry Duerod",0.2
1981,"Terry Tyler",6.4
1981,"Tiny Archibald*",6.9
1981,"Tom Abernethy",0.4
1981,"Tom Burleson",0.2
1981,"Tom Henderson",1.5
1981,"Tom LaGarde",2.7
1981,"Tom McMillen",2.2
1981,"Tom Owens",4.8
1981,"Tony Fuller",-0.1
1981,"Tony Jackson",0
1981,"Tony Price",-0.1
1981,"Tree Rollins",2.6
1981,"Truck Robinson",7.6
1981,"Vinnie Johnson",5.9
1981,"Wally Rank",-0.4
1981,"Wally Walker",2.1
1981,"Walter Davis",7.1
1981,"Walter Jordan",-0.1
1981,"Wayne Cooper",1.5
1981,"Wayne Kreklow",-0.3
1981,"Wayne Robinson",1.7
1981,"Wes Matthews",2.6
1981,"Wes Unseld*",5.5
1981,"Winford Boynes",-1.4
1981,"World B. Free",7.4
1982,"Adrian Dantley*",12.6
1982,"Al Wood",0.9
1982,"Alan Hardy",0.2
1982,"Albert King",2.4
