time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-03T01:38:37.300Z,2.09,127.1413,88.97,4.1,mb,,138,1.328,0.75,us,us2000ckdg,2018-01-19T00:21:49.040Z,"104km WNW of Tobelo, Indonesia",earthquake,10.8,5.4,0.144,13,reviewed,us,us
2018-01-02T18:30:58.440Z,9.2662,125.2315,5.31,4.5,mb,,126,2.209,1.13,us,us2000ck9y,2018-02-02T18:36:10.040Z,"27km N of Magsaysay, Philippines",earthquake,14.4,5.2,0.113,26,reviewed,us,us
2018-01-02T17:47:10.220Z,0.0418,123.451,138.81,4.4,mb,,50,1.272,1.01,us,us1000bz2t,2018-02-01T19:58:21.040Z,"45km SE of Bilungala, Indonesia",earthquake,6.7,6.6,0.08,49,reviewed,us,us
2018-01-02T12:55:17.910Z,6.2831,126.8269,106.06,4.7,mb,,86,1.465,0.74,us,us1000bz07,2018-01-29T07:55:39.040Z,"72km E of Pondaguitan, Philippines",earthquake,7.6,5.1,0.069,64,reviewed,us,us
2018-01-02T12:04:08.320Z,6.1843,126.866,106.48,4.6,mb,,88,1.551,0.9,us,us1000byzv,2018-01-29T07:37:04.040Z,"78km ESE of Pondaguitan, Philippines",earthquake,8.6,6.9,0.068,65,reviewed,us,us
2018-01-02T02:21:29.190Z,-8.3857,119.8867,172.33,4.4,mb,,99,2.338,0.85,us,us2000ck9k,2018-02-08T05:13:51.040Z,"11km N of Cempa, Indonesia",earthquake,7.7,15.2,0.189,8,reviewed,us,us
2018-01-01T19:46:08.840Z,4.1398,126.6313,32.96,4.3,mb,,158,3.093,0.63,us,us2000ck21,2018-01-16T19:41:36.040Z,"190km SE of Sarangani, Philippines",earthquake,8.2,7,0.116,21,reviewed,us,us
2018-01-01T16:32:39.270Z,-9.3547,120.9223,123.94,4.2,mb,,72,1.482,1.02,us,us1000byt9,2018-01-17T16:59:15.040Z,"45km S of Waebela, Indonesia",earthquake,9.3,8.1,0.152,12,reviewed,us,us
2018-01-01T16:25:35.730Z,-7.834,116.825,292.26,4.2,mb,,87,2.72,1.06,us,us1000byt2,2018-01-17T16:56:13.040Z,"56km NNE of Belanting, Indonesia",earthquake,8.9,8.3,0.095,31,reviewed,us,us
2018-01-01T07:26:01.980Z,-4.3179,102.1873,52.09,4.8,mb,,94,0.767,1.02,us,us1000byqq,2018-01-24T07:40:01.040Z,"57km S of Bengkulu, Indonesia",earthquake,7,1.7,0.077,52,reviewed,us,us
2018-01-01T06:22:46.820Z,-6.168,101.9688,10,4.4,mb,,109,2.047,0.74,us,us1000byqg,2018-01-24T07:29:11.040Z,"235km WSW of Kuripan, Indonesia",earthquake,6.3,1.9,0.112,23,reviewed,us,us
2018-01-01T00:52:30.980Z,-0.2797,123.6999,127.24,4.5,mb,,59,1.197,1.15,us,us1000byph,2018-01-14T04:25:40.040Z,"80km SSW of Molibagu, Indonesia",earthquake,6.1,2.7,0.101,29,reviewed,us,us
2017-12-31T21:03:56.090Z,-5.7409,110.6514,542.41,4.2,mb,,28,1.316,0.43,us,us2000ck04,2018-01-30T00:53:50.040Z,"82km N of Batang, Indonesia",earthquake,10.7,3.2,0.081,42,reviewed,us,us
2017-12-31T17:24:17.950Z,-8.1452,106.8825,36.06,4.1,mb,,104,1.5,1.09,us,us2000cjzz,2018-01-29T14:40:03.040Z,"79km S of Sinarharapan, Indonesia",earthquake,7.3,4.3,0.151,12,reviewed,us,us
2017-12-31T14:53:32.590Z,5.4885,124.9095,39.61,5.1,mww,,60,1.706,0.96,us,us1000byj1,2018-02-03T18:20:56.040Z,"41km S of Daliao, Philippines",earthquake,5.4,5.2,0.073,18,reviewed,us,us
