name,price,description,host,rating,duration,lectures,level,url
Data Science with Python Course : Hands-on Data Science 2021,455,"Numpy, Pandas, Matplotlib, Scikit-Learn, WebScraping, Data Science, Machine Learning, Pyspark, statistics, Data Science",Data Science & Machine Learning Academy,4.5,15.5 total hours,153 lectures,All Levels,https://www.udemy.com/course/data-science-with-python-and-pandas/
End to End Data Science Practicum with Knime,455,Applied Data Science Concepts and Techniques with Knime and hands on examples,Prof. Dr. ?adi Evren ?eker,4.5,9 total hours,72 lectures,All Levels,https://www.udemy.com/course/datascience-knime/
Data Science and Machine Learning Developer Certification,455,Learn the powerful tools used in data science and machine learning from a top instructor,"Starweaver Team, Paul Siegel",4.5,12 total hours,57 lectures,Intermediate,https://www.udemy.com/course/data-science-and-machine-learning-developer-certification/
Mathematics Linear Algebra for Machine Learning Data Science,455,"Master the Complete linear algebra - Mathematics for data science, machine learning & Deep Learning - Practical exercise",Manifold AI Learning ®,4.5,13 total hours,117 lectures,All Levels,https://www.udemy.com/course/linear-algebra-for-data-science-machine-learning-ai/
Data Science 2021: Data Science & Machine Learning in Python,455,"Data Science, Machine Learning Python, Deep Learning, TensorFlow 2.0, NLP, Statistics for Data Science, Data Analysis !",Data Science & Machine Learning Academy,4.5,18.5 total hours,164 lectures,All Levels,https://www.udemy.com/course/data-science-and-machine-learning-for-beginners-with-python/
Data Science:Hands-on Covid19 Face Mask Detection-CNN&OpenCV,455,A Practical Hands-on Data Science Guided Project on Covid-19 Face Mask Detection using Deep Learning & OpenCV,School of Disruptive Innovation,4.5,2 total hours,10 lectures,All Levels,https://www.udemy.com/course/data-science-hands-on-covid19-face-mask-detection-cnn-opencv/
Data Science:Data Mining & Natural Language Processing in R,455,"Harness the Power of Machine Learning in R for Data/Text Mining, & Natural Language Processing with Practical Examples",Minerva Singh,4.5,13 total hours,110 lectures,All Levels,https://www.udemy.com/course/data-science-datamining-natural-language-processing-in-r/
"Intro to Big Data, Data Science and Artificial Intelligence",455,"Big Data Technology & Tools for Non-Technical Leaders. Industry expert insights on IoT, AI and Machine Learning for all.",Julia Mariasova,4.5,3.5 total hours,80 lectures,Beginner,https://www.udemy.com/course/introduction-to-big-data-data-science/
"Python + SQL + Tableau: Integrating Python, SQL, and Tableau",455,"See the full picture: Learn how to combine the three most important tools in data science: Python, SQL, and Tableau",365 Careers,4.5,5.5 total hours,91 lectures,Intermediate,https://www.udemy.com/course/python-sql-tableau-integrating-python-sql-and-tableau/
Python for Data Science and Visualization -Beginners to Pro,455,"Complete Python data science course - beginner to expert in data analysis and visualization - Pandas, Numpy & MatPlotLib","Analytics Leap, Animesh Jaipurkar",4.5,5 total hours,69 lectures,Intermediate,https://www.udemy.com/course/python-for-data-analysis-and-visualization/
Python for Data Science: Master NumPy & Pandas on Real Data,455,"Master the power of NumPy, Pandas and Python built-in data structures by real life datasets. All dataset included.",Rune Thomsen,4.5,6.5 total hours,90 lectures,Beginner,https://www.udemy.com/course/python-for-data-science-master-numpy-pandas-on-real-data/
Data Science:Hands-on Covid-19 Data Analysis & Visualization,455,Data Science : A practical Hands-on project on Covid-19 Data Analysis and Visualization using Plotly Express (45 graphs),School of Disruptive Innovation,4.5,2 total hours,15 lectures,All Levels,https://www.udemy.com/course/hands-on-covid-19-data-visualization-using-plotly-express/
Introduction to Python for Data Science,455,Learn everything you need to know in Python programming to start your Data Science journey.,Jedha Bootcamp,4.5,3.5 total hours,47 lectures,Beginner,https://www.udemy.com/course/introduction-to-python-for-data-science/
Learn Python For Data Science W/ Search & Recommender Algos!,"2,560","Practice hands-on text mining with no prior coding skills! Learn basic keyword extraction, search, and recommendation.",Larry Wai,4.5,4.5 total hours,31 lectures,Beginner,https://www.udemy.com/course/learn-python-for-data-science-w-search-recommender-algos/
"R for Data Analysis, Statistics and Data Science",455,"Data Analysis & Data Science using R : Descriptive & Inferential Statistics, Data Visualization, Hypothesis Testing",Syed Mohiuddin,4.5,8 total hours,79 lectures,Beginner,https://www.udemy.com/course/statistical-data-analysis-using-r/
The Data Science Course 2021: Complete Data Science Bootcamp,455,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning","365 Careers, 365 Careers Team",4.6,29 total hours,476 lectures,All Levels,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,455,Learn Tableau 2020 for data science step by step. Real-life data analytics exercises & quizzes included. Learn by doing!,"Kirill Eremenko, Ligency Team",4.6,9 total hours,82 lectures,All Levels,https://www.udemy.com/course/tableau10/
R Programming A-Z™: R For Data Science With Real Exercises!,455,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2","Kirill Eremenko, Ligency Team",4.6,10.5 total hours,82 lectures,All Levels,https://www.udemy.com/course/r-programming/
"Machine Learning, Data Science and Deep Learning with Python",455,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks","Sundog Education by Frank Kane, Frank Kane",4.6,14.5 total hours,111 lectures,Beginner,https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/
Python A-Z™: Python For Data Science With Real Exercises!,455,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization","Kirill Eremenko, Ligency Team",4.6,11 total hours,75 lectures,All Levels,https://www.udemy.com/course/python-coding/
Bayesian Machine Learning in Python: A/B Testing,455,"Data Science, Machine Learning, and Data Analytics Techniques for Marketing, Digital Media, Online Advertising, and More",Lazy Programmer Inc.,4.6,10.5 total hours,78 lectures,All Levels,https://www.udemy.com/course/bayesian-machine-learning-in-python-ab-testing/
Cluster Analysis and Unsupervised Machine Learning in Python,455,"Data science techniques for pattern recognition, data mining, k-means clustering, and hierarchical clustering, and KDE.","Lazy Programmer Team, Lazy Programmer Inc.",4.6,8 total hours,56 lectures,Beginner,https://www.udemy.com/course/cluster-analysis-unsupervised-machine-learning-python/
R Programming for Statistics and Data Science 2021,455,R Programming for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R,"365 Careers, 365 Simona (The 365 Team)",4.6,6.5 total hours,126 lectures,All Levels,https://www.udemy.com/course/r-programming-for-statistics-and-data-science/
